"field_name","field_type","base_form_id","base_property_id","field_desc"
field_1,PROPERTY,1,1,你的性别
field_2,DEMAND,1,1,你想配对
field_3,PROPERTY,1,2,你的出生日期
field_4,DEMAND,1,2,你希望对方的年龄是（周岁）
field_5,PROPERTY,1,3,你的身高(CM)
field_6,DEMAND,1,3,你希望对方的身高（CM）
field_7,PROPERTY,1,4,你的体型
field_9,DEMAND,1,4,你希望对方的体型是（可多选）
field_10,PROPERTY,1,\N,你的民族
field_11,DEMAND,1,\N,你希望对方的民族是（可多选）
field_12,PROPERTY,1,5,你的家乡（省-市-县-区）
field_13,DEMAND,1,5,你希望对方的家乡是（可多选）
field_14,PROPERTY,1,36,你现在居住在(省-市-县-区)
field_15,DEMAND,1,36,你希望对方居住在（可多选）
field_16,PROPERTY,1,6,你的学历
field_17,DEMAND,1,6,你希望对方的学历
field_18,PROPERTY,1,\N,你的毕业院校
field_19,DEMAND,1,\N,你希望对方的毕业院校是（可多选）
field_20,PROPERTY,1,7,你的专业或者工作方向（可多选）
field_21,DEMAND,1,7,你希望对方的专业或者工作方向（可多选）
field_22,PROPERTY,1,8,你的血型
field_23,DEMAND,1,8,你希望对方的血型（可多选）
field_24,PROPERTY,1,9,你的星座
field_25,DEMAND,1,9,你希望对方的星座是（可多选）
field_26,PROPERTY,1,10,你的职业
field_27,DEMAND,1,10,你希望对方的职业是（可多选）
field_28,PROPERTY,1,11,你的年收入
field_29,DEMAND,1,11,你希望对方的年收入（可多选）
field_30,PROPERTY,1,12,你每个月的工资花销
field_31,DEMAND,1,12,你希望对方的工资花销（可多选）
field_32,PROPERTY,1,13,你的信仰
field_33,DEMAND,1,13,你希望对方的信仰（可多选）
field_34,PROPERTY,1,\N,你的性取向（可多选）
field_35,DEMAND,1,\N,你希望对方的性取向（可多选）
field_36,PROPERTY,1,14,你的化妆水平
field_37,DEMAND,1,14,你希望对方的化妆水平（可多选）
field_38,PROPERTY,1,15,你的穿衣搭配水平
field_39,DEMAND,1,15,你希望对方的穿衣搭配水平（可多选）
field_40,PROPERTY,1,16,你认为你的外表打几分（满分100）
field_41,DEMAND,1,16,你希望对方的外表打几分（满分100）
field_42,PROPERTY,1,17,请上传一张近期照片
field_44,PROPERTY,1,17,和陌生人相处时你总是
field_45,DEMAND,1,18,你希望对方是（可多选）
field_46,PROPERTY,1,19,和朋友相处时你总是（可多选）
field_47,DEMAND,1,19,你希望对方是（可多选）
field_48,PROPERTY,1,20,和朋友在要玩什么产生分歧时你会（可多选）
field_49,DEMAND,1,20,你希望对方是（可多选）
field_50,PROPERTY,1,21,当你面对困难时，你总是(可多选）
field_51,DEMAND,1,21,你希望对方是（可多选）
field_52,PROPERTY,1,22,你的决断力
field_53,DEMAND,1,22,你希望对方是（可多选）
field_54,PROPERTY,1,23,周末你更习惯于
field_55,DEMAND,1,23,你希望对方更习惯于（可多选）
field_57,PROPERTY,1,24,你会怎么爱上一个人？
field_58,DEMAND,1,24,你希望对方会（可多选）
field_59,PROPERTY,1,25,你喜欢怎样的相处方式？
field_60,DEMAND,1,25,你希望对方喜欢(可多选）
field_61,PROPERTY,1,26,遇见喜欢的人你会
field_62,DEMAND,1,26,你希望对方会（可多选）
field_63,PROPERTY,1,27,以下约会地点你喜欢（可多选）
field_64,DEMAND,1,27,你希望对方喜欢（可多选）
field_65,PROPERTY,1,28,你会为了奢侈品超额消费吗？
field_66,DEMAND,1,28,你希望对方是（可多选）
field_67,PROPERTY,1,29,你喜欢去哪旅行？（可多选）
field_68,DEMAND,1,29,你希望对方喜欢（可多选）
field_69,PROPERTY,1,30,你的性观念
field_70,DEMAND,1,30,你希望对方的性观念是（可多选）
field_73,PROPERTY,1,31,你喜欢哪种音乐？（可多选，也可以写下更详细的分类或者音乐人、乐曲）
field_74,DEMAND,1,31,你希望对方喜欢（可多选）
field_75,PROPERTY,1,32,你喜欢哪种运动？（可多选）
field_76,DEMAND,1,32,你希望对方喜欢（可多选）
field_77,PROPERTY,1,33,你喜欢哪种艺术？（可多选，也可写下具体分类或者作品）
field_78,DEMAND,1,33,你希望对方喜欢（可多选）
field_79,PROPERTY,1,34,你感兴趣哪种生活技能？（可多选）
field_80,DEMAND,1,34,你希望对方喜欢（可多选）
field_81,PROPERTY,1,35,你喜欢哪种话题？（可多选）
field_82,DEMAND,1,35,你希望对方喜欢（可多选）
field_83,PROPERTY,1,37,微信号（）